음식점 이름,메뉴 이름,메뉴 가격,에너지,탄수화물,단백질,지방
애슐리퀸즈 NC대전유성점,평일디너/할인가,25900, , , , 
애슐리퀸즈 NC대전유성점,주말,공휴일,27900, , , , 
애슐리퀸즈 NC대전유성점,초등학생,12900, , , , 
애슐리퀸즈 NC대전유성점,미취학아동,7900, , , , 
귀빈한식뷔페,한식뷔페 (성인),9000, , , , 
귀빈한식뷔페,한식뷔페 (초등),7000, , , , 
귀빈한식뷔페,한식뷔페 (미취학),5000, , , , 
귀빈한식뷔페,생삼겹살 (180g),13000, , , , 
옥천옥 봉명동본점,소머리국밥,13000, , , , 
옥천옥 봉명동본점,도가니탕,16000, , , , 
옥천옥 봉명동본점,소머리수육,35000, , , , 
옥천옥 봉명동본점,반반수육,45000, , , , 
옥천옥 봉명동본점,소머리국밥특,15000, , , , 
옥천옥 봉명동본점,도가니수육,55000, , , , 
알텐데,마르게리따,20000, , , , 
바라던바,아메리카노 (HOT),4500, , , , 
바라던바,카페라떼 (HOT),5300, , , , 
바라던바,카푸치노 (HOT),5300, , , , 
바라던바,바닐라크림라떼 (HOT),6200, , , , 
바라던바,모카라떼 (HOT),6200, , , , 
바라던바,청포도케일,6800, , , , 
전주복집,밀복찜(소),50000, , , , 
전주복집,까치복찜(소),80000, , , , 
전주복집,자연산 밀복수육,60000, , , , 
전주복집,생복불고기(1인),26000, , , , 
전주복집,아구찜(소),35000, , , , 
연타발 대전유성점,특양구이,0, , , , 
연타발 대전유성점,한우대창구이,0, , , , 
마이램 봉명점,양보탕,20000, , , , 
마이램 봉명점,양갈비 200g,30000, , , , 
마이램 봉명점,양등심 180g,30000, , , , 
마이램 봉명점,프랜치랙 180g,38000, , , , 
마이램 봉명점,지리산흑돼지오겹살 150g,17000, , , , 
마이램 봉명점,양고기 수육 300g,35000, , , , 
파이룸,아메리카노(HOT),3000, , , , 
파이룸,카페라떼,4000, , , , 
파이룸,아이스초코,3200, , , , 
파이룸,복숭아아이스티,3000, , , , 
수리왕족발보쌈 유성점,부드러운온족(중),34000, , , , 
수리왕족발보쌈 유성점,꼬들앞족발(중),34000, , , , 
수리왕족발보쌈 유성점,족발+보쌈(2인),36000, , , , 
수리왕족발보쌈 유성점,보쌈(소),29000, , , , 
수리왕족발보쌈 유성점,마늘보쌈(소),31000, , , , 
명작,Aging꽃삼겹(150g),13000, , , , 
명작,Aging갈매기살(150g),14000, , , , 
명작,이베리코갈빗살(150g),15000, , , , 
